"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","name","entrez"
"ENSG00000279457",29.9135794276176,0.179257083672691,0.324821565250144,0.551863246932653,0.581042050747029,0.686554777832896,NA,NA,NA
"ENSG00000187634",183.229649921658,0.426457118403307,0.140265820376891,3.04034951107424,0.00236303749730971,0.00515718149494307,"SAMD11","sterile alpha motif domain containing 11","148398"
"ENSG00000188976",1651.18807619944,-0.692720464846367,0.0548465415913881,-12.6301576133496,1.43989540153787e-36,1.76548905389893e-35,"NOC2L","NOC2 like nucleolar associated transcriptional repressor","26155"
"ENSG00000187961",209.637938486147,0.729755610585227,0.131859899969346,5.53432552849561,3.12428248077716e-08,1.1341299310762e-07,"KLHL17","kelch like family member 17","339451"
"ENSG00000187583",47.2551232589398,0.0405765278756319,0.271892808601774,0.14923722361139,0.881366448669145,0.919030615571379,"PLEKHN1","pleckstrin homology domain containing N1","84069"
"ENSG00000187642",11.9797501642461,0.542810491577361,0.521559849534146,1.04074439790984,0.297994191720984,0.403379309754101,"PERM1","PPARGC1 and ESRR induced regulator, muscle 1","84808"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993835,10.446969679419,1.512818754073e-25,1.30538189681077e-24,"HES4","hes family bHLH transcription factor 4","57801"
"ENSG00000187608",350.71686801731,0.257383686481772,0.102726560033547,2.50552229528292,0.01222706894099,0.0237452288908038,"ISG15","ISG15 ubiquitin like modifier","9636"
"ENSG00000188157",9128.439421961,0.389908792022771,0.0467163395511497,8.34630443585718,7.0432114877135e-17,4.21962808560657e-16,"AGRN","agrin","375790"
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RNF223","ring finger protein 223","401934"
"ENSG00000131591",156.479083393338,0.196592348543654,0.145610917129247,1.35012094161288,0.176977192005123,0.261745093404065,"C1orf159","chromosome 1 open reading frame 159","54991"
"ENSG00000186891",0.732334495547826,-0.311843033892278,2.29432959164861,-0.135919021847336,0.891885297764806,0.926394074174199,"TNFRSF18","TNF receptor superfamily member 18","8784"
"ENSG00000186827",0.774563363005392,1.72578824180931,2.027222329879,0.851306843049778,0.394598924610234,0.508934886751171,"TNFRSF4","TNF receptor superfamily member 4","7293"
"ENSG00000078808",4600.33028600984,0.386628861206272,0.0483324364781529,7.99936625129659,1.25061211583925e-15,7.0890466781688e-15,"SDF4","stromal cell derived factor 4","51150"
"ENSG00000176022",903.070312267806,0.425079342747299,0.0745779843229775,5.69979661700688,1.19950446644778e-08,4.50173079361025e-08,"B3GALT6","beta-1,3-galactosyltransferase 6","126792"
"ENSG00000184163",4.52322235705183,0.328034737205598,0.844006620099536,0.388663701674416,0.697524937134858,0.783293353056157,"C1QTNF12","C1q and TNF related 12","388581"
"ENSG00000160087",1226.36024604796,0.430326257302023,0.0633109392294929,6.79702848416373,1.06798988680951e-11,4.92954430059458e-11,"UBE2J2","ubiquitin conjugating enzyme E2 J2","118424"
"ENSG00000162572",31.7776688322821,0.810145939917119,0.320430204352816,2.52830703507929,0.0114614071029092,0.022391068118064,"SCNN1D","sodium channel epithelial 1 delta subunit","6339"
"ENSG00000131584",1067.09073092054,0.582146204655292,0.0670714173686746,8.67949757875821,3.97520932177837e-18,2.52855567476778e-17,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","116983"
"ENSG00000169972",227.376248317606,0.0839217292579036,0.121698882258048,0.689585045489221,0.490455174370899,0.602963660316842,"PUSL1","pseudouridine synthase like 1","126789"
"ENSG00000127054",922.15171909075,-0.209496874766819,0.0727879689671138,-2.87817997588958,0.00399976875647152,0.0084308626906289,"INTS11","integrator complex subunit 11","54973"
"ENSG00000224051",299.70151191683,-0.216411081372189,0.108761452223984,-1.98977741605095,0.0466154602905489,0.0804283134818672,"CPTP","ceramide-1-phosphate transfer protein","80772"
"ENSG00000169962",5.84091826930333,0.0582910464706815,0.735677202178209,0.0792345424026898,0.936846070086016,0.957107817893227,"TAS1R3","taste 1 receptor member 3","83756"
"ENSG00000107404",996.838159268406,-0.144513678508733,0.0649756414671937,-2.22412084352716,0.0261403148786272,0.0475302321459815,"DVL1","dishevelled segment polarity protein 1","1855"
"ENSG00000162576",5438.1255159644,0.5162154831316,0.0418318418467676,12.340252313597,5.49833078343868e-35,6.45178336674517e-34,"MXRA8","matrix remodeling associated 8","54587"
"ENSG00000175756",1068.65776669111,0.0974793333116649,0.0657020202953102,1.48365808042927,0.137899652570411,0.211001357930099,"AURKAIP1","aurora kinase A interacting protein 1","54998"
"ENSG00000221978",1362.3522672541,0.487093287454534,0.0609097051687454,7.99697332477775,1.27514850257954e-15,7.22535126144456e-15,"CCNL2","cyclin L2","81669"
"ENSG00000242485",665.629405355783,-0.119697711313019,0.0763055945682456,-1.56866232404447,0.116726641897752,0.181909405550288,"MRPL20","mitochondrial ribosomal protein L20","55052"
"ENSG00000235098",1.24671988581422,-0.0591200275867558,1.57049165078444,-0.0376442800935785,0.969971302515186,0.978804317457639,"ANKRD65","ankyrin repeat domain 65","441869"
